Year,FS_Chained,FS_1980_base,FS_2023_base
1980,0.0,0.0,0.0
1981,0.014374547799268621,0.014496528977896477,0.006304914756000197
1982,0.04310443017395782,0.04359014922866676,0.019089880747748342
1983,0.07179611510480897,0.07288289342425494,0.032227090442996875
1984,0.10045005784451792,0.10237073710555938,0.04572036105962836
1985,0.1290667081698373,0.13204961300220017,0.05957325695034851
1986,0.15764651044930575,0.16191541799481327,0.07378908120605567
1987,0.18618990371003946,0.19196401989017736,0.08837086778854011
1988,0.21469732170360198,0.22219126399737957,0.10332137423727913
1989,0.243169192970969,0.25259297949454684,0.11864307499277549
1990,0.2716059409065966,0.2831649855769711,0.1343381553761714
1991,0.3000079838216083,0.313903097378755,0.1504085062618002
1992,0.3283757350061101,0.3448031316613671,0.16685571947590733
1993,0.3567096027906439,0.3758609122637257,0.18368108395102223
1994,0.3850099906067842,0.4070722753096202,0.20088558266141873
1995,0.41327729704688937,0.4384330741694333,0.21846989036080464
1996,0.4415119159230086,0.46993918417420905,0.23643437213885526
1997,0.46971423632494624,0.5015865070811604,0.25477908280851413
1998,0.49788464267748783,0.5333709752906914,0.27350376713116187
1999,0.5260235147967807,0.5652885558159243,0.292607860881833
2000,0.5541312279458666,0.5973352540065865,0.31209049275172546
2001,0.5822081528893557,0.6295071170299041,0.3319504870803113
2002,0.6102546559472276,0.6618002371118742,0.3521863674044893
2003,0.638271099047743,0.6942107545429596,0.3727963608074655
2004,0.666257839779438,0.726734860452843,0.39377840304544637
2005,0.6942152314421712,0.7593687993594185,0.41513014442584084
2006,0.722143623097184,0.7921088714976684,0.4368489564065069
2007,0.750043359616122,0.8249514349344867,0.4589319388817194
2008,0.7779147817289562,0.8578929074758634,0.4813759281169784
2009,0.8057582260707284,0.8909297683731379,0.5041775052915686
2010,0.833574025227028,0.924058559835272,0.5273330056049473
2011,0.8613625077780869,0.9572758883542775,0.5508385279005851
2012,0.8891239983413582,0.9905784258510686,0.5746899447588385
2013,0.9168588176124123,1.0239629106490977,0.5988829130087991
2014,0.9445672824039544,1.0574261482831726,0.6234128846078375
2015,0.9722497056827256,1.090965012150847,0.6482751178367504
2016,0.999906396604002,1.1245764440137318,0.6734646887580135
2017,1.027537660543353,1.1582574543559851,0.6989765028846212
2018,1.0551437991252468,1.1920051226071058,0.7248053070073533
2019,1.082725110248017,1.2258165972359927,0.750945701129015
2020,1.1102818881046055,1.2596890957230236,0.7773921504552362
2021,1.1378144231983829,1.2936199044166607,0.8041389973927462
2022,1.1653230023532128,1.3276063782808019,0.8311804735076423
2023,1.1928079087167658,1.3616459405387749,0.85851071139801
