year,PIE,INI,NX,GDP_QI,GDP,EX_GOOD,IM_GOOD,EX_SERV,GIE,GCE_QI,GCE,POP,EX_GOOD_QI,IM_GOOD_QI,EX_SERV_QI,IM_SERV_QI,IM_SERV,PCE_GOOD_QI,PCE_GOOD,PCE_QI,PCE,PCE_SERV_QI,PCE_SERV,X_TOT_QI,X_TOT,GDP_P,GDP_Q,X_TOT_P,X_TOT_Q,PCE_P,PCE_Q,GCE_P,GCE_Q,PCE_GOOD_P,PCE_GOOD_Q,PCE_SERV_P,PCE_SERV_Q,EX_GOOD_P,EX_GOOD_Q,EX_SERV_P,EX_SERV_Q,IM_GOOD_P,IM_GOOD_Q,IM_SERV_P,IM_SERV_Q,C_GOOD_Paasche_Chained_QI,C_GOOD_Laspeyres_Chained_QI,C_GOOD_Fischer_Chained_QI,C_SERV_Paasche_Chained_QI,C_SERV_Laspeyres_Chained_QI,C_SERV_Fischer_Chained_QI,C_GOOD,C_SERV,C_TOT,C_GOOD_Fischer_Chained_P,C_SERV_Fischer_Chained_P,C_GOOD_Fischer_Chained_Q,C_SERV_Fischer_Chained_Q,C_GOOD_Paasche_Chained_P,C_SERV_Paasche_Chained_P,C_GOOD_Laspeyres_Chained_P,C_SERV_Laspeyres_Chained_P,C_TOT_Paasche_Chained_QI,C_TOT_Laspeyres_Chained_QI,C_TOT_Fischer_Chained_QI,C_TOT_Fischer_Chained_Q,C_TOT_P,X_Rel_P,C_Share,E_FB_1947_QI,E_FB_2023_QI,E_FB_1947_P,E_FB_2023_P,E_FB_1947_Q,E_FB_2023_Q,X_TOT_1947_Q,X_TOT_1947_QI,X_TOT_1947_P,X_TOT_2023_Q,X_TOT_2023_QI,X_TOT_2023_P,Y_FB_1947_QI,Y_FB_2023_QI,Y_Fischer_Chained_QI,C_GOOD_FB_1947_QI,C_GOOD_FB_2023_QI,C_SERV_FB_1947_QI,C_SERV_FB_2023_QI,C_GOOD_FB_1947_P,C_SERV_FB_1947_P,C_GOOD_FB_2023_P,C_SERV_FB_2023_P,C_GOOD_FB_1947_Q,C_SERV_FB_1947_Q,C_GOOD_FB_2023_Q,C_SERV_FB_2023_Q,E_FB_Fischer_QI,Y_FB_Fischer_QI
1947,37131.0,-551.0,10807.0,0.11138999999999999,249616.0,16097.0,5973.0,2643.0,5686.0,0.20893,34141.0,144126.0,0.03949,0.016040000000000002,0.02565,0.0262,1960.0,0.10179,99429.0,0.10313,161852.0,0.09571,62423.0,1.0,43367.0,0.11426206597210413,2184592.0417799996,1.0,43367.0,0.11808306451307087,1370662.25938,0.06017157815764305,567394.12602,0.23189828131951862,428761.26306,0.07184184549904445,868894.71681,0.2635504722967642,61077.48493,0.12243413542075612,21587.11695,0.15712964518952838,38013.196,0.13318632462388996,14716.2256,1.0,1.0,1.0,1.0,1.0,1.0,109002.0,97247.0,206249.0,1.0,1.0,109002.0,97247.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,206249.0,1.0,1.0,0.8262651432600474,1.0,1.0,1.0,1.0,206249.0,206249.0,43367.0,1.0,1.0,43367.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,109002.0,97247.0,109002.0,97247.0,1.0,1.0
1948,50347.0,5659.0,5487.0,0.11598000000000001,274468.0,13265.0,7557.0,2282.0,8482.0,0.20915,35274.0,146631.0,0.03057,0.01838,0.02239,0.03231,2503.0,0.10384,107420.0,0.10546,174878.0,0.09824999999999999,67459.0,1.1316815144766148,53170.0,0.12066587597262116,2274611.5899600005,1.0833855989999936,49077.63223830736,0.12476764382879892,1401629.41796,0.0621030329489754,567991.5831,0.24558963934482808,437396.30176,0.07563059195759882,891953.8807499999,0.2805548650377349,47281.30449,0.12110282428094242,18843.49117,0.17348977916314517,43558.762,0.1379204755585279,18148.13928,0.9765883259454478,0.9771351578217761,0.976861703620123,1.0096072843072765,1.0092503152667087,1.009428784007413,118787.0,102512.0,221299.0,1.1155816540107653,1.0442940644503709,106479.87941800065,98163.9209583689,1.1158939402734427,1.0441094314682722,1.115269455142334,1.0444787300816698,1.0215834933107923,1.0221828339270247,1.0218831196792986,210762.37155073564,1.0499929298182522,1.0318027562219123,0.806280490692938,0.9922775474384402,1.0038591549815403,1.0813862897043502,1.0706440983069911,204656.25188163086,207044.9468557877,49077.63223830736,1.1316815144766148,1.0833855989999936,49077.63223830736,1.1316815144766148,1.0833855989999936,1.0164968756807986,1.0211137286381142,1.018049600804665,0.9771351578217761,0.9759716917306791,1.0092503152667087,1.0121472034722077,1.115269455142334,1.0444787300816698,1.116598979558348,1.0414893051208656,106509.68647288924,98146.56540874162,106382.86634202748,98428.27909606177,0.9980515519143828,1.0188026869200013
1949,39099.0,-2692.0,5235.0,0.11532999999999999,272475.0,12213.0,6874.0,2271.0,11315.0,0.22044,38493.0,149188.0,0.03039,0.01766,0.0218,0.03153,2375.0,0.10698,108081.0,0.10839,178333.0,0.10061,70252.0,1.1134465478841868,53106.0,0.12046481719910994,2261863.7236599997,1.0998028430312616,48286.83644209353,0.12379327775218735,1440570.95214,0.06429946007949335,598651.99416,0.23984812815726186,450622.65372,0.07691440828987677,913378.9307100001,0.25983499701567286,47002.90623,0.12378082293742478,18346.9454,0.164243733112392,41852.433999999994,0.13410485397324146,17710.022640000003,1.0065874344368193,1.0070740398170186,1.0068307077296241,1.0443742607284847,1.0439525088676402,1.0441633635041447,110728.0,108641.0,219369.0,1.008942778606145,1.0699145431998003,109746.56080394449,101541.75461068757,1.009186621141434,1.0696984884616412,1.0086989949887812,1.0701306415760972,1.0184916052064716,1.0190349826951224,1.0187632577231593,210118.90314214388,1.0440231541262068,1.053427635857118,0.8050977153867327,1.0244094005583873,1.0389711366839345,1.0382448247055707,1.026806314576897,211283.41445576682,214286.7579699248,48286.83644209353,1.1134465478841868,1.0998028430312616,48286.83644209353,1.1134465478841868,1.0998028430312616,1.0398782565935691,1.0490244753426368,1.0431042702032216,1.0069098879337621,1.0079082435362128,1.0440242151553352,1.0482029109171387,1.0088634385419237,1.0700571422314056,1.0078641367975087,1.0657913238497168,109755.19160455593,101528.22285121088,109864.01436193427,101934.58847795898,1.031664576947302,1.0444413542862445
1950,56530.0,5769.0,738.0,0.12536,299827.0,10203.0,9081.0,2147.0,11455.0,0.22028999999999999,39059.0,151684.0,0.02626,0.021560000000000003,0.020409999999999998,0.03354,2531.0,0.11527,116830.0,0.11535000000000001,192044.0,0.10503,75215.0,1.283825167037862,62216.0,0.12195163087910017,2458573.10672,1.1174724399038887,55675.64601893096,0.12526729723435187,1533073.7091,0.06528934415852129,598244.63706,0.24061774715630913,485541.90778,0.078882606782856,953505.5073299999,0.25121128984890545,40615.21282,0.12499186977953693,17177.117229999996,0.1777276089634055,51095.04400000001,0.13434884627134697,18839.01552,1.0525887967960212,1.0532237329356413,1.0529062170049812,1.0710908244625983,1.0705114899374073,1.0708011180204016,123721.0,113890.0,237611.0,1.0780012514165207,1.0937059240112166,114768.88346597696,104132.19632413,1.0783263350422683,1.0934101006834294,1.0776762657939103,1.0940018273743364,1.0907074103094392,1.0913638303453252,1.0910355709606079,225024.99547505443,1.0559315843929917,1.0582811011816395,0.7924936713504788,1.0607812316143534,1.0687319259652435,1.0854720325173042,1.0799061385145252,218785.06823922877,220424.8909984055,55675.64601893096,1.283825167037862,1.1174724399038887,55675.64601893096,1.283825167037862,1.1174724399038887,1.0995317377818719,1.0977670821443288,1.0980505275962311,1.0522025531867083,1.050667453000538,1.0703968815158436,1.0741006189346622,1.0787221681966381,1.0941189632001111,1.0802982583253422,1.0903461980855518,114692.18270245758,104092.88553677124,114524.85371196464,104453.0628895391,1.0647491576380752,1.0986490556633126
1951,62759.0,9911.0,2513.0,0.13544,346914.0,14243.0,11176.0,2856.0,19582.0,0.29002,53722.0,154287.0,0.03197,0.02114,0.02579,0.04267000000000001,3410.0,0.1139,124748.0,0.11715999999999999,208339.0,0.11125,83591.0,1.3697104677060135,72430.0,0.1306022737991141,2656263.09488,1.2193554688561852,59400.233853006685,0.1337968149725269,1557129.74216,0.06820876609242764,787611.37428,0.26001562120526783,479771.1746,0.08276556054588174,1009973.22375,0.28804797505419355,49446.62429,0.131582940092503,21704.94137,0.22307525041174908,50099.685999999994,0.14227761958824459,23967.226960000004,1.0631141311846428,1.0622147094737429,1.062664325172218,1.227811253009599,1.2274357724478777,1.2276234983731917,137726.0,136759.0,274485.0,1.1890096154122247,1.145551217322072,115832.53677242211,119382.70234629778,1.1885065427334267,1.1453760417388812,1.1895129010323158,1.1457264196968875,1.1823603944324543,1.1829794547914156,1.1826698841065786,243924.48092709773,1.1252868058046046,1.083595277725059,0.7912168686854129,1.1405999481394966,1.2021386987684202,1.1669524518411818,1.1175394319528364,235247.59870382302,247939.90448228788,59400.233853006685,1.3697104677060135,1.2193554688561852,59400.233853006685,1.3697104677060135,1.2193554688561852,1.1804044314340016,1.2247589933813317,1.1975166512018935,1.062660503283434,1.0601833957337505,1.227960538884718,1.244327277359282,1.1890138917191915,1.1452367958434988,1.191792010391591,1.1301734025786687,115832.12017890088,119415.47852492216,115562.11050177028,121007.09474135809,1.170965130766814,1.202377205050882
1952,57274.0,3514.0,1164.0,0.14096999999999998,367341.0,13449.0,10838.0,3010.0,24621.0,0.34371,64963.0,156954.0,0.03032,0.021560000000000003,0.02571,0.055650000000000005,4457.0,0.11646000000000001,128785.0,0.12086000000000001,219320.0,0.11624000000000001,90535.0,1.4486358574610245,78380.0,0.13286743801121517,2764718.01894,1.2476324107587533,62822.99123051225,0.1365369540851229,1606305.0583600001,0.06959689645792017,933418.05894,0.2625294745256573,490554.44244,0.08579284390919105,1055274.4946400002,0.2867918365759916,46894.64024,0.13910961351955736,21637.61313,0.21211450566516782,51095.04400000001,0.1425877840716885,31257.937200000004,1.0786117050110218,1.0775616988993335,1.078086574123054,1.3408329007491404,1.3409583907519864,1.340895644282539,134910.0,154051.0,288961.0,1.1480374043543122,1.1813901056880436,117513.59275256115,130398.07871954408,1.1474784729995273,1.1814453881841038,1.1485966079619252,1.1813348257787764,1.2253588442526986,1.226038545729531,1.225698647875732,252799.12042572183,1.1430459074121002,1.0914980777836307,0.7866287727207145,1.2022337785788286,1.3041255278270976,1.1655804597022112,1.0925581663092852,247959.5145981048,268974.58598881104,62822.99123051225,1.4486358574610245,1.2476324107587533,62822.99123051225,1.4486358574610245,1.2476324107587533,1.2450424084538534,1.3236327888153476,1.2744666284364603,1.0779192769186259,1.075949182498549,1.3415751393402444,1.371938673737666,1.1482155841609454,1.1807917428274797,1.15031800047595,1.1546586427218775,117495.35702268405,130464.15757542074,117280.61279070683,133416.9202049668,1.2521436663021863,1.2837363262349286
1953,60414.0,1948.0,-701.0,0.14758,389218.0,12412.0,10975.0,2901.0,26666.0,0.36351,70099.0,159565.0,0.02827,0.02281,0.02406,0.06575,5039.0,0.12249,134835.0,0.12659,232740.0,0.12105,97905.0,1.5702951002227172,85132.0,0.13447491157968589,2894354.0131599996,1.2501213745767992,68098.98761135858,0.13833312662888747,1682460.34534,0.07100867824941105,987189.19614,0.2613313894896971,515954.09286000003,0.08909026231002355,1098941.65155,0.2838716008688885,43723.99339,0.14326655927413284,20248.96818,0.20302486139784068,54057.419,0.1364436898597833,36930.986000000004,1.1208580104586363,1.1196360936095702,1.1202468854323595,1.3975865259836184,1.3974214908666964,1.3975040059889756,138220.0,165866.0,304086.0,1.1319380968697732,1.2204727786732195,122109.15100589805,135903.07207040992,1.131320930651806,1.2204007162961965,1.132555599768633,1.2205448453053909,1.2706425731630366,1.271191274185426,1.2709168940624596,262125.33848348822,1.1600786164331647,1.0776178069900852,0.7812742473369679,1.2507818222472176,1.362193953321754,1.1785720706342875,1.103790173878341,257972.50005666638,280951.14067865844,68098.98761135858,1.5702951002227172,1.2501213745767992,68098.98761135858,1.5702951002227172,1.2501213745767992,1.3062924158228038,1.390285255824729,1.336574484259628,1.1198079780134613,1.1182585410324029,1.3975874920279603,1.4346906342661077,1.1323817586744793,1.2203998727273941,1.1339507645073759,1.1888385946485251,122061.30921942332,135911.19083724305,121892.41748961397,139519.36011047618,1.305299749172551,1.347634626118708
1954,58070.0,-1937.0,404.0,0.14673,390549.0,12929.0,10353.0,2907.0,25396.0,0.33723,67071.0,162391.0,0.02987,0.021070000000000002,0.024380000000000002,0.06645,5079.0,0.12381,135766.0,0.12923,239608.0,0.12524,103842.0,1.5694599109131404,85403.0,0.13571644319663864,2877683.72646,1.2547682464882182,68062.76795657015,0.13950588634737218,1717547.59798,0.07323598850553466,915820.2322199999,0.2603303917832569,521514.21534,0.09133140628206873,1136980.19364,0.2798566952502881,46198.64459,0.14167853438428907,20518.281140000003,0.20733453995773962,49933.793000000005,0.13607805147675953,37324.1676,1.1456605880528425,1.144224807498485,1.1449424727135267,1.3830949294196704,1.3831494040035814,1.3831221664434392,136405.0,168741.0,305146.0,1.0929798542036864,1.2545381264910482,124801.01941071983,134504.48132012514,1.0922947598510904,1.2545628318702984,1.0936653782519004,1.2545134215983071,1.2614775294160765,1.262009279072944,1.2617433762319108,260233.30960445537,1.1725862475630433,1.0700861016372754,0.7813257747427339,1.255608418802668,1.350273002409815,1.1767818235245875,1.1123638029353953,258967.98076963145,278492.45647402195,68062.76795657015,1.5694599109131404,1.2547682464882182,68062.76795657015,1.5694599109131404,1.2547682464882182,1.310135362822101,1.379860757418148,1.3366868255253714,1.1434451420330873,1.1446912033538548,1.3813297417682897,1.4113711347156217,1.0944111010634103,1.2561660253379665,1.0932197724867094,1.2294282125500708,124637.80737189058,134330.17339774087,124773.63054797688,137251.60873769005,1.3020807000749681,1.3445461591421861
1955,73754.0,4987.0,478.0,0.1572,425478.0,14424.0,11527.0,3253.0,24358.0,0.32947000000000004,68600.0,165275.0,0.03302,0.02352,0.027149999999999997,0.07501000000000001,5672.0,0.13521,147398.0,0.13877,258288.0,0.13152,110890.0,1.6826280623608016,93125.0,0.13800678037647948,3083022.4344,1.2762001111074879,72970.53118040088,0.14004357992007468,1844340.17002,0.07666977851214307,894746.2915800001,0.2588048142238252,569533.45494,0.09287327126893873,1193992.61472,0.28243247595299037,51070.61414,0.14236622010304728,22849.521449999997,0.20679924782267858,55740.047999999995,0.13462382044018378,42132.21688000001,1.2505222712327073,1.248939495365205,1.2497306327270399,1.4098783064610465,1.410524275518381,1.4102012540024385,155282.0,177071.0,332353.0,1.1399091357852462,1.2911899316739135,136223.13842851282,137137.84134797513,1.1391875205164834,1.2914856923874398,1.140631208159259,1.290894238691993,1.3512257821774192,1.3517954315931637,1.351510576872536,278747.70496938366,1.1923075744659641,1.0703614892986815,0.7811285189833552,1.323110614748505,1.3920378358720569,1.2158026367616424,1.1724109625480879,272890.2411812644,287106.41161077586,72970.53118040088,1.6826280623608016,1.2762001111074879,72970.53118040088,1.6826280623608016,1.2762001111074879,1.3855713270049406,1.4312642316813418,1.4016795152962844,1.2484833812542697,1.2489744277885924,1.406758621425715,1.4345557390879138,1.1410479201453585,1.2943497434950864,1.1405993059750303,1.2692693711291823,136087.1855234779,136803.05565778652,136140.71057781213,139506.24195908234,1.357136705263643,1.4082324668837256
1956,77685.0,3950.0,2361.0,0.16055,449353.0,17556.0,12803.0,3728.0,27146.0,0.32677999999999996,71034.0,168221.0,0.03872,0.025619999999999997,0.03072,0.07986,6120.0,0.13724,152154.0,0.14282,271128.0,0.13783,118973.0,1.7142260579064588,100881.0,0.1427096011337801,3148722.9761,1.3570064318342163,74340.8414532294,0.14283673179059705,1898167.20532,0.08004362918265809,887441.0209199999,0.2632038499032805,578084.24936,0.09508123548672281,1251277.38813,0.29315426168122016,59886.55903999999,0.14419407567067447,25854.04416,0.21086407694682652,60716.837999999996,0.13643536926543015,44856.40368,1.281438830567929,1.2794676458232686,1.2804528588797286,1.4478744524447424,1.4489287857124755,1.4484015231436607,160857.0,187615.0,348472.0,1.1525025742393964,1.331994318241984,139571.92252360817,140852.70292115156,1.1516158093922015,1.3324792050186556,1.1533900219114426,1.331509607914735,1.3810144104623499,1.3815616295963558,1.3812879929306612,284889.26725395594,1.2231840228974478,1.109404968043789,0.7754972148845117,1.3579594612620807,1.425379597456375,1.242658341603615,1.197443304601824,280077.7809258429,293983.1165957799,74340.8414532294,1.7142260579064588,1.3570064318342163,74340.8414532294,1.7142260579064588,1.3570064318342163,1.419855387391322,1.464370604561581,1.4364982989497788,1.2806537437744105,1.277399822597169,1.4446097210910833,1.469358626263639,1.1523217912921146,1.33549052812912,1.1552571011405683,1.3129964086890211,139593.8193788983,140483.96154694457,139239.13546273662,142890.7183282601,1.3912611941169855,1.441941223498464
