year,sgt_model,sgt_data,logΩ_fit,Ω_fit,Ωt_model,FS_Divisia,FS_1980_base,FS_1990_base,FS_2000_base,FS_2010_base,FS_2023_base
1980,0.23976087964738813,0.23976087964738813,0.09889114482037283,1.103946122764575,1.1039461227645573,0.0,0.0,0.0,0.0,0.0,0.0
1981,0.24586673646800908,0.24586673646820206,0.11752043133627864,1.1247046089270656,1.1247046089278436,0.01477103848236657,0.029037473328964527,0.025355972674303475,0.02096644245682774,0.02055729319570118,0.014321726649397983
1982,0.23199353360585812,0.23199353360572694,0.13556653844674793,1.1451853921566477,1.1451853921564743,0.04436252112105088,0.05824960416705684,0.05105119950662236,0.04240676644366766,0.041488204553456545,0.02893879455275157
1983,0.2227986811652899,0.22279868116534837,0.15332445761604008,1.1657031388524315,1.1657031388530574,0.07374497742637579,0.08763193918286565,0.07706477359365908,0.06417453590745746,0.06273709626388933,0.0438545503319817
1984,0.22311473422145672,0.22311473422141748,0.17149546667544044,1.1870787613067872,1.187078761306565,0.10276346083624245,0.11718005434148432,0.10333560149898857,0.0862361048306261,0.0842794726573785,0.05907214739156746
1985,0.2123068949145691,0.21230689491447544,0.18851074069213763,1.2074500517662456,1.2074500517661257,0.13176092727311794,0.14688955951931082,0.12963555588440284,0.10858100229430345,0.10610417323553067,0.07459453769723323
1986,0.19916106442502846,0.1991610644253473,0.20477684998265405,1.2272511732842415,1.2272511732853357,0.16085713027158757,0.1767561028384056,0.15663367824259694,0.1312035520496725,0.1282044479389287,0.0904244639831956
1987,0.20097364311628044,0.20097364311639704,0.22269114745436955,1.2494346230741944,1.2494346230733602,0.1897071203477434,0.20677537472183888,0.18387818037723092,0.1540998752145481,0.15057568370916868,0.10656445243064343
1988,0.20093676957028278,0.20093676957028722,0.24037066199289067,1.2717204414043735,1.2717204414044916,0.21827309415533283,0.2369431116726161,0.21135719713488077,0.1772668573361919,0.17321419029956336,0.12301680585826406
1989,0.20041506114134974,0.20041506114136562,0.2579569133073646,1.2942830510468224,1.2942830510470837,0.24680787336920337,0.26725509977977246,0.23919480950875757,0.20070171690597086,0.1961161817058358,0.1397835974633951
1990,0.19694969794690037,0.19694969794691658,0.27490253074086995,1.3164023598516066,1.3164023598516685,0.2753112115515754,0.29770717795618806,0.2673485666769767,0.2244018011226557,0.2192781417810615,0.15686666514978195
1991,0.19073653713779198,0.1907365371377837,0.29106718555598593,1.3378544654267208,1.337854465426686,0.3037836336198776,0.3282952409134972,0.2896161085887028,0.248364480709734,0.2426968104264326,0.17426760647495126
1992,0.18622645455458517,0.18622645455488515,0.3074002090946715,1.359885097565686,1.3598850975667804,0.33218176335581384,0.359015241880228,0.3189319880732939,0.2725870926967731,0.26636908182887203,0.19198777424696684
1993,0.18019160024640984,0.1801916002463629,0.32312702165907936,1.3814408126656168,1.3814408126652586,0.3604932905904877,0.3898631950699582,0.34844588342680394,0.29706690839972755,0.287347388444589,0.21002827279673625
1994,0.17999282093200036,0.17999282093204585,0.3403174435046452,1.4053936528466264,1.4053936528471258,0.38873730126825085,0.4208351779068439,0.37813906986478324,0.32180111553897617,0.31284935759355714,0.22838995494819636
1995,0.17558610850006337,0.17558610850008968,0.3561728619131235,1.427854348566399,1.4278543485665809,0.416914085688362,0.4519273330163721,0.4079985932948429,0.34678680873247236,0.3385895677924554,0.2470734197046686
1996,0.17435424305073313,0.17435424305074085,0.3729107109463622,1.4519546903844938,1.4519546903845892,0.44504009217536494,0.4831358699895845,0.438014608614376,0.3720209851826935,0.36455881144836383,0.26607901066538303
